Millis,ID,B0,B1,B2,B3,B4,B5,B6,B7
87095,513,0,0,0,0,,,,
87099,52c,0,,,,,,,
87100,50c,9c,5,1,,,,,
87100,56c,18,,,,,,,
87103,500,4,,,,,,,
87103,512,0,0,0,0,,,,
87103,534,47,8,,,,,,
87104,504,0,1a,1,,,,,
87107,54c,0c,c0,0,0c,90,0,,
87112,500,4,,,,,,,
87113,510,77,5,0,,,,,
87115,504,0,1a,1,,,,,
87119,55c,18,,,,,,,
87121,513,0,0,0,0,,,,
87125,500,4,,,,,,,
87125,528,0,,,,,,,
87125,534,4a,8,,,,,,
87125,564,17,,,,,,,
87125,548,0e,d0,0,86,c0,0,,
87126,504,0,1a,1,,,,,
87126,524,0,0,0,0,5,0,5,9
87126,540,7,90,0,0b,b0,0,,
87127,512,0,0,0,0,,,,
87131,508,0,0,0,0,3,,,
87134,509,a9,5,f5,1,5a,3,,
87134,538,0,0,aa,2,aa,2,7,2
87134,544,0a,90,0,8,40,5,,
87134,500,4,,,,,,,
87135,554,0,0,0,0,,,,
87137,504,0,1a,1,,,,,
87137,514,0,4,0,,,,,
87143,520,0,9,5,5,3,5,5,4
87144,534,48,8,,,,,,
87145,500,4,,,,,,,
87148,513,0,0,0,0,,,,
87148,504,0,1a,1,,,,,
87151,50c,9f,5,1,,,,,
87153,512,0,0,0,0,,,,
87156,500,4,,,,,,,
87157,560,17,,,,,,,
87158,54c,0b,c0,0,0c,90,0,,
87159,504,0,1a,1,,,,,
87166,534,48,8,,,,,,
87167,500,4,,,,,,,
87170,504,0,1a,1,,,,,
87173,513,0,0,0,0,,,,
87176,548,0f,d0,0,ac,c0,0,,
87177,540,7,90,0,0c,b0,0,,
87178,524,0,0,0,0,5,0,5,9
87178,500,4,,,,,,,
87179,512,0,0,0,0,,,,
87181,504,0,1a,1,,,,,
87182,508,0,0,0,0,3,,,
87182,509,b0,5,f4,1,5a,3,,
87185,538,0,0,aa,2,98,2,7,2
87185,544,0a,90,0,8,30,5,,
87188,534,4c,8,,,,,,
87189,500,4,,,,,,,
87192,504,0,1a,1,,,,,
87195,520,0,9,5,5,3,5,5,4
87199,513,0,0,0,0,,,,
87200,500,4,,,,,,,
87200,52c,0,,,,,,,
87202,50c,9d,5,1,,,,,
87205,504,0,1a,1,,,,,
87205,512,0,0,0,0,,,,
87209,54c,0c,c0,0,0c,90,0,,
87210,534,48,8,,,,,,
87211,500,4,,,,,,,
87214,510,77,5,0,,,,,
87214,504,0,1a,1,,,,,
87222,500,4,,,,,,,
87224,528,0,,,,,,,
87225,504,0,1a,1,,,,,
87228,564,17,,,,,,,
87228,513,0,0,0,0,,,,
87228,548,0f,d0,0,88,c0,0,,
87230,524,0,0,0,0,5,0,5,9
87231,512,0,0,0,0,,,,
87231,540,7,90,0,0c,b0,0,,
87231,534,48,8,,,,,,
87233,508,0,0,0,0,3,,,
87233,509,ab,5,f5,1,59,3,,
87233,538,0,0,aa,2,98,2,4,2
87236,500,4,,,,,,,
87236,544,0a,90,0,8,40,5,,
87237,504,0,1a,1,,,,,
87238,514,0,4,0,,,,,
87244,500,4,,,,,,,
87246,520,0,9,5,5,3,5,5,4
87247,504,0,1a,1,,,,,
87251,513,0,0,0,0,,,,
87253,534,4b,8,,,,,,
87253,50c,97,5,1,,,,,
87256,500,4,,,,,,,
87256,550,17,17,17,0,,,,
87257,512,0,0,0,0,,,,
87258,504,0,1a,1,,,,,
87261,54c,0b,c0,0,0c,90,0,,
