Millis	ID	B0	B1	B2	B3	B4	B5	B6	B7
21871	504	0	1a	1					
21874	534	73	8						
21875	554	0	0	0	0				
21876	500	4							
21878	510	79	5	0					
21880	504	0	1a	1					
21885	512	0	0	0	0				
21885	528	0							
21887	500	4							
21889	568	18							
21892	504	0	1a	1					
21892	513	0	0	0	0				
21893	50c	89	1	0					
21895	56c	19							
21896	534	71	8						
21898	540	8	a0	0	0d	c0	0		
21898	500	4							
21902	504	0	1a	1					
21908	548	0f	d0	0	6b	c0	0		
21908	54c	0c	d0	0	0c	90	0		
21911	500	4							
21911	512	0	0	0	0				
21912	52c	0							
21913	544	0b	a0	0	9	b0	5		
21914	504	0	1a	1					
21914	524	0	0	0	0	5	0	5	9
21916	55c	18							
21917	520	0	9	5	5	3	5	5	4
21917	513	0	0	0	0				
21918	534	64	8						
21921	508	ff	ff	0	0	0			
21921	509	0	0	0	0	0	0		
21921	538	0	0	0	0	0	0	0	0
21921	500	4							
21924	504	0	1a	1					
21932	500	4							
21933	514	0	2	0					
21934	564	18							
21935	504	0	1a	1					
21937	512	0	0	0	0				
21940	534	74	8						
21943	500	4							
21943	50c	78	1	0					
21943	513	0	0	0	0				
21946	504	0	1a	1					
21949	540	8	b0	0	0d	c0	0		
21950	560	18							
21954	500	4							
21957	504	0	1a	1					
21960	548	0f	d0	0	92	c0	0		
21962	54c	0c	c0	0	0c	90	0		
21963	534	70	8						
21963	512	0	0	0	0				
21964	544	0c	a0	0	9	b0	5		
21965	524	0	0	0	0	5	0	5	9
21966	500	4							
21967	520	0	9	5	5	3	5	5	4
21968	504	0	1a	1					
21969	513	0	0	0	0				
21970	508	ff	ff	0	0	0			
21973	509	0	0	0	0	0	0		
21973	538	0	0	0	0	0	0	0	0
21976	500	4							
21979	504	0	1a	1					
21980	510	7a	5	0					
21982	534	65	8						
21986	528	0							
21987	500	4							
21989	512	0	0	0	0				
21990	504	0	1a	1					
21994	50c	87	1	0					
21995	513	0	0	0	0				
21998	500	4							
22001	504	0	1a	1					
22001	540	9	b0	0	0d	c0	0		
22004	534	73	8						
22009	500	4							
22012	504	0	1a	1					
22012	548	0f	d0	0	54	c0	0		
22012	54c	0c	d0	0	0c	90	0		
22016	52c	0							
22016	512	0	0	0	0				
22016	524	0	0	0	0	5	0	5	9
22016	544	0b	a0	0	9	b0	5		
22019	520	0	9	5	5	3	5	5	4
22021	508	ff	ff	0	0	0			
22021	509	0	0	0	0	0	0		
22021	538	0	0	0	0	0	0	0	0
22021	513	0	0	0	0				
22022	500	4							
22024	504	0	1a	1					
22025	534	6f	8						
22033	500	4							
22034	504	0	1a	1					
22034	514	0	2	0					
22035	564	18							
22041	512	0	0	0	0				
22044	500	4							
22045	504	0	1a	1					
22045	50c	85	1	0					
22048	550	19	19	18	0				
22049	534	65	8						
22049	513	0	0	0	0				
22053	540	8	a0	0	0d	c0	0		
22055	500	4							
22056	504	0	1a	1					
22064	548	10	d0	0	8b	c0	0		
22064	54c	0c	c0	0	0c	90	0		
22066	500	4							
22067	504	0	1a	1					
22070	512	0	0	0	0				
22070	544	0b	a0	0	9	b0	5		
22070	524	0	0	0	0	5	0	5	9
22072	570	19							
22072	520	0	9	5	5	3	5	5	4
22072	534	74	8						
22072	508	ff	ff	0	0	0			
22072	509	0	0	0	0	0	0		
22072	538	0	0	0	0	0	0	0	0
22073	513	0	0	0	0				
22077	554	0	0	0	0				
